,Tinh thành,Phần Trăm
0,ho chi minh,21.511627906976745
1,da nang,8.13953488372093
2,hà nội,6.976744186046512
3,thanh hóa,5.813953488372093
4,quang ngai,5.232558139534884
5,nghệ an,3.488372093023256
6,nam định,2.9069767441860463
7,hải dương,2.9069767441860463
8,ha noi,2.9069767441860463
9,quảng ngãi,2.3255813953488373
10,ninh bình,2.3255813953488373
11,quảng trị,2.3255813953488373
12,an giang,2.3255813953488373
13,quang nam,2.3255813953488373
14,hà tĩnh,1.744186046511628
15,hưng yên,1.744186046511628
16,binh dinh,1.744186046511628
17,phú thọ,1.1627906976744187
18,thái bình,1.1627906976744187
19,hai phong,1.1627906976744187
20,bac giang,1.1627906976744187
21,đà nẵng,1.1627906976744187
22,phú yên,1.1627906976744187
23,binh duong,1.1627906976744187
24,ninh thuận,1.1627906976744187
25,bình thuận,1.1627906976744187
26,lạng sơn,1.1627906976744187
27,gia lai,1.1627906976744187
28,thái nguyên,1.1627906976744187
29,khánh hòa,1.1627906976744187
30,khanh hoa,0.5813953488372093
31,can tho,0.5813953488372093
32,phu tho,0.5813953488372093
33,vĩnh phúc,0.5813953488372093
34,quảng nam,0.5813953488372093
35,bình dương,0.5813953488372093
36,hòa bình,0.5813953488372093
37,hải phòng,0.5813953488372093
38,cần thơ,0.5813953488372093
39,binh phuoc,0.5813953488372093
40,vung tau,0.5813953488372093
41,cà mau,0.5813953488372093
42,quảng bình,0.5813953488372093
43,quảng ninh,0.5813953488372093
