,Tinh thành,Phần Trăm
0,ho chi minh,26.126126126126128
1,da nang,12.012012012012011
2,thanh hóa,4.504504504504505
3,đà nẵng,4.2042042042042045
4,đồng nai,3.6036036036036037
5,ninh bình,3.3033033033033035
6,bình dương,2.7027027027027026
7,bình định,2.4024024024024024
8,lâm đồng,2.1021021021021022
9,nam định,2.1021021021021022
10,nghệ an,1.8018018018018018
11,quang nam,1.8018018018018018
12,an giang,1.8018018018018018
13,quảng ngãi,1.8018018018018018
14,phú thọ,1.5015015015015014
15,bình thuận,1.5015015015015014
16,bắc giang,1.5015015015015014
17,quang ngai,1.5015015015015014
18,hà nội,1.5015015015015014
19,hải dương,1.5015015015015014
20,tp hcm,1.5015015015015014
21,bà rịa - vũng tàu,1.5015015015015014
22,hai phong,1.2012012012012012
23,hòa bình,1.2012012012012012
24,ninh binh,1.2012012012012012
25,quảng ninh,1.2012012012012012
26,hải phòng,1.2012012012012012
27,lào cai,1.2012012012012012
28,khánh hòa,1.2012012012012012
29,bến tre,0.9009009009009009
30,hà tĩnh,0.9009009009009009
31,gia lai,0.6006006006006006
32,binh dinh,0.6006006006006006
33,long an,0.6006006006006006
34,binh phuoc,0.6006006006006006
35,vung tau,0.6006006006006006
36,cà mau,0.6006006006006006
37,quảng bình,0.6006006006006006
38,kiên giang,0.6006006006006006
39,thai nguyen,0.3003003003003003
40,bắc ninh,0.3003003003003003
41,sóc trăng,0.3003003003003003
42,bình phước,0.3003003003003003
43,ha tinh,0.3003003003003003
44,quảng nam,0.3003003003003003
45,binh duong,0.3003003003003003
46,ninh thuận,0.3003003003003003
47,thái nguyên,0.3003003003003003
